epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.188,3.35685,3.69358,3.86378,0,0,0,0,2.899,4.01734,4.13832,0.00066055,0.00066055,0.00066055
1,172.508,3.21297,3.65302,3.86643,0,0,0,0,2.79048,3.81468,3.73911,0.00066055,0.00066055,0.00066055
2,329.133,2.66489,2.8179,3.03985,0.67347,0.18857,0.41913,0.2059,1.99635,2.83462,2.71679,0.00131408,0.00131408,0.00131408
3,486.745,2.31843,2.25662,2.67216,0.55069,0.43773,0.49781,0.25342,1.91478,3.42552,2.58345,0.0019544,0.0019544,0.0019544
4,640.292,2.08182,1.97739,2.45708,0.98077,0.14571,0.56308,0.38582,1.57339,1.7078,2.19427,0.0019406,0.0019406,0.0019406
5,793.636,1.91684,1.77526,2.27494,0.88235,0.47143,0.68718,0.4136,1.604,1.55394,2.18067,0.0019208,0.0019208,0.0019208
6,947.262,1.81459,1.68161,2.18693,0.88024,0.42,0.6587,0.43985,1.49639,1.56739,2.02846,0.001901,0.001901,0.001901
7,1100.72,1.70922,1.55754,2.07913,0.92614,0.46571,0.69707,0.50299,1.28308,1.21058,1.85083,0.0018812,0.0018812,0.0018812
8,1254.42,1.61374,1.41372,1.97114,0.89243,0.64,0.77019,0.53247,1.31946,1.14791,1.88014,0.0018614,0.0018614,0.0018614
9,1407.85,1.59152,1.34615,1.95766,0.92825,0.59143,0.76386,0.53126,1.24728,1.20847,1.79624,0.0018416,0.0018416,0.0018416
10,1561.76,1.53826,1.32808,1.91205,0.93074,0.61429,0.77938,0.56146,1.22784,1.06204,1.76443,0.0018218,0.0018218,0.0018218
11,1715.53,1.48674,1.2641,1.86011,0.92952,0.60286,0.77055,0.56916,1.18095,1.07992,1.73897,0.001802,0.001802,0.001802
12,1868.31,1.47911,1.24807,1.8454,0.91197,0.74,0.84385,0.62383,1.12196,0.86969,1.66491,0.0017822,0.0017822,0.0017822
13,2017.09,1.444,1.19427,1.80916,0.91419,0.79143,0.86796,0.65048,1.10268,0.87015,1.66899,0.0017624,0.0017624,0.0017624
14,2169.51,1.45713,1.1828,1.82922,0.94275,0.70571,0.83322,0.60058,1.21136,0.90994,1.75691,0.0017426,0.0017426,0.0017426
15,2321.87,1.38969,1.11692,1.75388,0.94915,0.64,0.80402,0.61988,1.0677,0.83683,1.61824,0.0017228,0.0017228,0.0017228
16,2472.65,1.37908,1.13478,1.74383,0.92884,0.70857,0.82515,0.62376,1.08639,0.81416,1.63968,0.001703,0.001703,0.001703
17,2621.35,1.36066,1.12268,1.74874,0.89508,0.78,0.85013,0.64684,1.06018,0.80338,1.61541,0.0016832,0.0016832,0.0016832
18,2771.99,1.3501,1.07367,1.7146,0.91429,0.82286,0.88889,0.69109,1.03679,0.76018,1.60224,0.0016634,0.0016634,0.0016634
19,2920.65,1.33604,1.09292,1.71475,0.93355,0.80286,0.8821,0.66567,1.04389,0.76821,1.60467,0.0016436,0.0016436,0.0016436
20,3069.91,1.32292,1.05904,1.70713,0.89614,0.86286,0.90206,0.70417,0.97879,0.74981,1.53488,0.0016238,0.0016238,0.0016238
21,3218.97,1.28838,1.05062,1.6683,0.92029,0.72571,0.83625,0.65038,1.03877,0.75961,1.58663,0.001604,0.001604,0.001604
22,3367.61,1.27942,1.00225,1.65642,0.95238,0.8,0.8849,0.68994,0.99636,0.72082,1.56561,0.0015842,0.0015842,0.0015842
23,3516.2,1.27174,1.00671,1.66221,0.94915,0.8,0.88442,0.69809,0.97918,0.7076,1.55412,0.0015644,0.0015644,0.0015644
24,3665.74,1.26616,1.00677,1.66265,0.89205,0.89714,0.91756,0.69665,1.0354,0.70434,1.60534,0.0015446,0.0015446,0.0015446
25,3814.07,1.25468,0.97105,1.64748,0.91317,0.87143,0.91629,0.69331,1.01704,0.69782,1.59139,0.0015248,0.0015248,0.0015248
26,3962.52,1.23932,0.97265,1.64084,0.88825,0.88571,0.91309,0.72102,0.92358,0.6805,1.50412,0.001505,0.001505,0.001505
27,4111.35,1.24768,0.95465,1.64738,0.90395,0.91429,0.93854,0.73603,0.93755,0.68455,1.50824,0.0014852,0.0014852,0.0014852
28,4259.82,1.21798,0.93751,1.61151,0.89884,0.88857,0.92364,0.71194,0.97506,0.66185,1.54721,0.0014654,0.0014654,0.0014654
29,4407.71,1.20496,0.92787,1.60459,0.90503,0.92571,0.94284,0.74177,0.92301,0.66596,1.49836,0.0014456,0.0014456,0.0014456
30,4557.2,1.22042,0.9617,1.61678,0.90997,0.80857,0.86853,0.68759,0.95859,0.69234,1.51077,0.0014258,0.0014258,0.0014258
31,4705.97,1.19179,0.93749,1.61182,0.90826,0.84857,0.89996,0.71267,0.9586,0.67184,1.54413,0.001406,0.001406,0.001406
32,4855.02,1.1947,0.91579,1.60765,0.94098,0.82,0.89569,0.72037,0.90105,0.62455,1.4784,0.0013862,0.0013862,0.0013862
33,5003.27,1.17368,0.88953,1.5689,0.91348,0.89714,0.94216,0.74519,0.90178,0.63009,1.46824,0.0013664,0.0013664,0.0013664
34,5151.34,1.16798,0.90429,1.57564,0.89489,0.9,0.91399,0.73284,0.88754,0.63222,1.4534,0.0013466,0.0013466,0.0013466
35,5300.33,1.18021,0.87505,1.55336,0.90525,0.90571,0.9463,0.74865,0.9103,0.62313,1.46358,0.0013268,0.0013268,0.0013268
36,5448.5,1.16954,0.90787,1.56755,0.89538,0.83143,0.87766,0.67684,0.9869,0.68973,1.53894,0.001307,0.001307,0.001307
37,5597.33,1.16047,0.87041,1.56916,0.9174,0.88857,0.92372,0.73626,0.90191,0.58778,1.46507,0.0012872,0.0012872,0.0012872
38,5745.88,1.15785,0.86644,1.56055,0.94586,0.84857,0.91384,0.72209,0.91114,0.64603,1.47049,0.0012674,0.0012674,0.0012674
39,5894.48,1.15408,0.86859,1.54522,0.92192,0.87714,0.92214,0.73689,0.91077,0.5943,1.48027,0.0012476,0.0012476,0.0012476
40,6043.33,1.13348,0.85862,1.53868,0.88679,0.94,0.95068,0.75835,0.89349,0.6123,1.44376,0.0012278,0.0012278,0.0012278
41,6191.51,1.13765,0.87224,1.55056,0.94953,0.86,0.91847,0.74137,0.89531,0.58513,1.44776,0.001208,0.001208,0.001208
42,6340.17,1.11634,0.83617,1.51836,0.92151,0.90571,0.93328,0.7452,0.88495,0.56507,1.43923,0.0011882,0.0011882,0.0011882
43,6489.24,1.12196,0.84559,1.5226,0.92507,0.91714,0.94343,0.755,0.86901,0.56321,1.43046,0.0011684,0.0011684,0.0011684
44,6641.87,1.11245,0.83697,1.52549,0.92384,0.90109,0.93999,0.75113,0.86635,0.56106,1.4319,0.0011486,0.0011486,0.0011486
45,6791.35,1.10675,0.84879,1.51653,0.90407,0.88857,0.92494,0.76202,0.8306,0.56282,1.39562,0.0011288,0.0011288,0.0011288
46,6939.85,1.10011,0.81549,1.51944,0.91956,0.91452,0.95328,0.75813,0.87132,0.54167,1.4363,0.001109,0.001109,0.001109
47,7088.38,1.11683,0.82939,1.50994,0.91035,0.89937,0.93523,0.74926,0.88112,0.59453,1.44632,0.0010892,0.0010892,0.0010892
48,7241.11,1.09209,0.81909,1.49949,0.90028,0.90286,0.93442,0.74795,0.89096,0.55124,1.44646,0.0010694,0.0010694,0.0010694
49,7389.43,1.09561,0.82664,1.4989,0.8927,0.92286,0.9548,0.75681,0.90034,0.55891,1.44462,0.0010496,0.0010496,0.0010496
50,7538.4,1.07332,0.8075,1.49349,0.8956,0.93143,0.93943,0.74662,0.88118,0.5477,1.42856,0.0010298,0.0010298,0.0010298
51,7687.03,1.07772,0.81342,1.49299,0.93623,0.92286,0.95207,0.78708,0.82451,0.5137,1.38393,0.00101,0.00101,0.00101
52,7835.95,1.0782,0.79975,1.49115,0.90625,0.91143,0.94014,0.75821,0.86771,0.54297,1.41004,0.0009902,0.0009902,0.0009902
53,7985.98,1.04108,0.78178,1.46397,0.89431,0.94286,0.95536,0.78521,0.8215,0.53891,1.37032,0.0009704,0.0009704,0.0009704
54,8136.88,1.06355,0.77813,1.47378,0.9011,0.93714,0.95385,0.78199,0.81893,0.51749,1.36526,0.0009506,0.0009506,0.0009506
55,8285.62,1.04103,0.76995,1.46302,0.92281,0.94,0.96279,0.79776,0.80801,0.53043,1.36272,0.0009308,0.0009308,0.0009308
56,8436.04,1.05645,0.77963,1.47926,0.91139,0.94041,0.95365,0.7685,0.83751,0.52639,1.39682,0.000911,0.000911,0.000911
57,8584.12,1.04612,0.77845,1.46551,0.91061,0.93143,0.94654,0.77726,0.82146,0.51568,1.37913,0.0008912,0.0008912,0.0008912
58,8732.63,1.04109,0.78868,1.46455,0.93642,0.92571,0.9516,0.7821,0.81197,0.50773,1.36865,0.0008714,0.0008714,0.0008714
59,8883.59,1.04831,0.79428,1.46672,0.90938,0.94616,0.96413,0.78281,0.81814,0.51683,1.36244,0.0008516,0.0008516,0.0008516
60,9035.56,1.03017,0.77644,1.44768,0.90608,0.93714,0.95392,0.77892,0.81917,0.5297,1.36616,0.0008318,0.0008318,0.0008318
61,9185.76,1.01254,0.75458,1.42784,0.9497,0.91714,0.94785,0.77109,0.82176,0.50168,1.37522,0.000812,0.000812,0.000812
62,9335.65,1.02249,0.7676,1.44018,0.92226,0.95143,0.96568,0.78886,0.8014,0.51578,1.35121,0.0007922,0.0007922,0.0007922
63,9485.19,1.00579,0.73755,1.42943,0.88653,0.95143,0.95199,0.78384,0.80149,0.50409,1.35102,0.0007724,0.0007724,0.0007724
64,9633.87,1.01902,0.76482,1.42363,0.92077,0.96286,0.96717,0.79612,0.80133,0.49246,1.35285,0.0007526,0.0007526,0.0007526
65,9784.08,1.03197,0.77838,1.44749,0.93391,0.92857,0.952,0.77562,0.80606,0.5021,1.35357,0.0007328,0.0007328,0.0007328
66,9934.17,1.01645,0.75571,1.43135,0.89544,0.95429,0.94907,0.78278,0.79496,0.52584,1.34219,0.000713,0.000713,0.000713
67,10083.3,0.99287,0.74249,1.41686,0.90541,0.95714,0.96466,0.80057,0.78471,0.49564,1.34013,0.0006932,0.0006932,0.0006932
68,10231.8,1.01297,0.75058,1.43018,0.88974,0.96,0.96469,0.79227,0.80173,0.49009,1.35623,0.0006734,0.0006734,0.0006734
69,10380.9,0.994,0.72874,1.4091,0.90736,0.95143,0.96078,0.78352,0.81002,0.49888,1.35416,0.0006536,0.0006536,0.0006536
70,10532.4,0.99518,0.72532,1.41517,0.89276,0.95143,0.95714,0.77593,0.81611,0.50369,1.37256,0.0006338,0.0006338,0.0006338
71,10682.3,0.98515,0.72839,1.4143,0.90715,0.94906,0.96696,0.79436,0.79027,0.50611,1.34264,0.000614,0.000614,0.000614
72,10841,0.9946,0.72009,1.41949,0.88083,0.97143,0.96379,0.79056,0.81043,0.50912,1.36203,0.0005942,0.0005942,0.0005942
73,11004.6,0.98141,0.73207,1.40628,0.88543,0.94946,0.96694,0.79888,0.78206,0.51804,1.32064,0.0005744,0.0005744,0.0005744
74,11155.1,0.98668,0.73763,1.40835,0.92458,0.94571,0.96039,0.79083,0.81188,0.49364,1.34941,0.0005546,0.0005546,0.0005546
75,11305.9,0.99047,0.72163,1.41031,0.91642,0.93979,0.96035,0.79771,0.77994,0.49273,1.32736,0.0005348,0.0005348,0.0005348
76,11456.4,0.9706,0.72722,1.39458,0.89812,0.95714,0.96325,0.80013,0.77716,0.48122,1.32568,0.000515,0.000515,0.000515
77,11606.5,0.97893,0.72225,1.38908,0.89153,0.96286,0.96371,0.80057,0.77859,0.48521,1.32435,0.0004952,0.0004952,0.0004952
78,11756.9,0.96699,0.70605,1.40323,0.91105,0.96571,0.97013,0.80595,0.76367,0.46843,1.31052,0.0004754,0.0004754,0.0004754
79,11907.9,0.96817,0.71099,1.39083,0.92182,0.94571,0.96547,0.79471,0.78592,0.48018,1.32039,0.0004556,0.0004556,0.0004556
80,12059.2,0.95059,0.70805,1.38099,0.91667,0.94286,0.96027,0.7933,0.78004,0.48313,1.32523,0.0004358,0.0004358,0.0004358
81,12209.7,0.94297,0.69523,1.37565,0.89501,0.97429,0.97245,0.80834,0.76843,0.4778,1.3153,0.000416,0.000416,0.000416
82,12360.1,0.94925,0.70263,1.38248,0.95029,0.92857,0.95627,0.79801,0.76587,0.46094,1.32454,0.0003962,0.0003962,0.0003962
83,12511.1,0.94071,0.68207,1.35414,0.91877,0.93716,0.96223,0.79948,0.77351,0.47704,1.30227,0.0003764,0.0003764,0.0003764
84,12661.8,0.94208,0.69906,1.35819,0.93015,0.95124,0.96868,0.80225,0.77135,0.4727,1.30892,0.0003566,0.0003566,0.0003566
85,12812.4,0.95092,0.71325,1.37667,0.91664,0.94259,0.95975,0.79858,0.75851,0.46822,1.29824,0.0003368,0.0003368,0.0003368
86,12963.1,0.93293,0.68079,1.34731,0.93093,0.92571,0.95961,0.79763,0.77425,0.47669,1.31083,0.000317,0.000317,0.000317
87,13113.8,0.9318,0.66779,1.36661,0.89005,0.97143,0.96938,0.81028,0.74997,0.47004,1.28979,0.0002972,0.0002972,0.0002972
88,13264.7,0.94408,0.69114,1.37227,0.92296,0.94,0.97045,0.80786,0.75315,0.47312,1.30127,0.0002774,0.0002774,0.0002774
89,13415.4,0.93943,0.687,1.37265,0.90265,0.95376,0.9701,0.8066,0.76624,0.47246,1.30958,0.0002576,0.0002576,0.0002576
90,13566,0.92241,0.67337,1.34696,0.93013,0.93143,0.96046,0.80248,0.76543,0.46475,1.30788,0.0002378,0.0002378,0.0002378
91,13714.8,0.74629,0.50523,1.26327,0.93464,0.93429,0.96192,0.80595,0.75825,0.45733,1.30535,0.000218,0.000218,0.000218
92,13865.3,0.73031,0.47508,1.24723,0.93484,0.94286,0.96182,0.80483,0.76453,0.45286,1.32128,0.0001982,0.0001982,0.0001982
93,14014.2,0.7221,0.47277,1.23435,0.93883,0.93429,0.96224,0.80747,0.75173,0.4553,1.29596,0.0001784,0.0001784,0.0001784
94,14165.5,0.72658,0.46679,1.24516,0.92562,0.96,0.96972,0.81262,0.74641,0.4517,1.29918,0.0001586,0.0001586,0.0001586
95,14314.4,0.72191,0.46293,1.22271,0.94698,0.91848,0.95426,0.8032,0.74463,0.44486,1.28908,0.0001388,0.0001388,0.0001388
96,14465.9,0.71284,0.45906,1.22925,0.95062,0.93502,0.96401,0.81507,0.74132,0.44049,1.29154,0.000119,0.000119,0.000119
97,14614.2,0.71579,0.45531,1.23223,0.95065,0.93429,0.96397,0.81378,0.73553,0.44274,1.28086,9.92e-05,9.92e-05,9.92e-05
98,14762.5,0.69571,0.45615,1.2182,0.92562,0.96,0.96937,0.81538,0.7433,0.44317,1.29032,7.94e-05,7.94e-05,7.94e-05
