,Date,Price
0,04/27/2025,5508.85
1,04/20/2025,5525.21
2,04/13/2025,5282.7
3,04/06/2025,5363.36
4,03/30/2025,5074.08
5,03/23/2025,5580.94
6,03/16/2025,5667.56
7,03/09/2025,5638.94
8,03/02/2025,5770.2
9,02/23/2025,5954.5
10,02/16/2025,6013.13
11,02/09/2025,6114.63
12,02/02/2025,6025.99
13,01/26/2025,6040.53
14,01/19/2025,6101.24
15,01/12/2025,5996.66
16,01/05/2025,5827.04
17,12/29/2024,5942.47
18,12/22/2024,5970.84
19,12/15/2024,5930.85
20,12/08/2024,6051.09
21,12/01/2024,6090.27
22,11/24/2024,6032.38
23,11/17/2024,5969.34
24,11/10/2024,5870.62
25,11/03/2024,5995.54
26,10/27/2024,5728.8
27,10/20/2024,5808.12
28,10/13/2024,5864.67
29,10/06/2024,5815.03
30,09/29/2024,5751.07
31,09/22/2024,5738.17
32,09/15/2024,5702.55
33,09/08/2024,5626.02
34,09/01/2024,5408.42
35,08/25/2024,5648.4
36,08/18/2024,5634.61
37,08/11/2024,5554.25
38,08/04/2024,5344.16
39,07/28/2024,5346.56
40,07/21/2024,5459.1
41,07/14/2024,5505.0
42,07/07/2024,5615.35
43,06/30/2024,5567.19
44,06/23/2024,5460.48
45,06/16/2024,5464.62
46,06/09/2024,5431.6
47,06/02/2024,5346.99
48,05/26/2024,5277.51
49,05/19/2024,5304.72
50,05/12/2024,5303.27
51,05/05/2024,5222.68
52,04/28/2024,5127.79
53,04/21/2024,5099.96
54,04/14/2024,4967.23
55,04/07/2024,5123.41
56,03/31/2024,5204.34
57,03/24/2024,5254.35
58,03/17/2024,5234.18
59,03/10/2024,5117.09
60,03/03/2024,5123.69
61,02/25/2024,5137.08
62,02/18/2024,5088.8
63,02/11/2024,5005.57
64,02/04/2024,5026.61
65,01/28/2024,4958.61
66,01/21/2024,4890.97
67,01/14/2024,4839.81
68,01/07/2024,4783.83
69,12/31/2023,4697.24
70,12/24/2023,4769.83
71,12/17/2023,4754.63
72,12/10/2023,4719.19
73,12/03/2023,4604.37
74,11/26/2023,4594.63
75,11/19/2023,4559.34
76,11/12/2023,4514.02
77,11/05/2023,4415.24
78,10/29/2023,4358.34
79,10/22/2023,4117.37
80,10/15/2023,4224.16
81,10/08/2023,4327.78
82,10/01/2023,4308.5
83,09/24/2023,4288.05
84,09/17/2023,4320.06
85,09/10/2023,4450.32
86,09/03/2023,4457.49
87,08/27/2023,4515.77
88,08/20/2023,4405.71
89,08/13/2023,4369.71
90,08/06/2023,4464.05
91,07/30/2023,4478.03
92,07/23/2023,4582.23
93,07/16/2023,4536.34
94,07/09/2023,4505.42
95,07/02/2023,4398.95
96,06/25/2023,4450.38
97,06/18/2023,4348.33
98,06/11/2023,4409.59
99,06/04/2023,4298.86
100,05/28/2023,4282.37
101,05/21/2023,4205.45
102,05/14/2023,4191.98
103,05/07/2023,4124.08
104,04/30/2023,4136.25
105,04/23/2023,4169.48
106,04/16/2023,4133.52
107,04/09/2023,4137.64
108,04/02/2023,4105.02
109,03/26/2023,4109.31
110,03/19/2023,3970.99
111,03/12/2023,3916.64
112,03/05/2023,3861.59
113,02/26/2023,4045.64
114,02/19/2023,3970.04
115,02/12/2023,4079.09
116,02/05/2023,4090.46
117,01/29/2023,4136.48
118,01/22/2023,4070.56
119,01/15/2023,3972.61
120,01/08/2023,3999.09
121,01/01/2023,3895.08
122,12/25/2022,3839.5
123,12/18/2022,3844.82
124,12/11/2022,3852.36
125,12/04/2022,3934.38
126,11/27/2022,4071.7
127,11/20/2022,4026.12
128,11/13/2022,3965.34
129,11/06/2022,3992.93
130,10/30/2022,3770.55
131,10/23/2022,3901.06
132,10/16/2022,3752.75
133,10/09/2022,3583.07
134,10/02/2022,3639.66
135,09/25/2022,3585.62
136,09/18/2022,3693.23
137,09/11/2022,3873.33
138,09/04/2022,4067.36
139,08/28/2022,3924.26
140,08/21/2022,4057.66
141,08/14/2022,4228.48
142,08/07/2022,4280.15
143,07/31/2022,4145.19
144,07/24/2022,4130.29
145,07/17/2022,3961.63
146,07/10/2022,3863.16
147,07/03/2022,3899.38
148,06/26/2022,3825.33
149,06/19/2022,3911.74
150,06/12/2022,3674.84
151,06/05/2022,3900.86
152,05/29/2022,4108.54
153,05/22/2022,4158.24
154,05/15/2022,3901.36
155,05/08/2022,4023.89
156,05/01/2022,4123.34
157,04/24/2022,4131.93
158,04/17/2022,4271.78
159,04/10/2022,4392.59
160,04/03/2022,4488.28
161,03/27/2022,4545.86
162,03/20/2022,4543.06
163,03/13/2022,4463.12
164,03/06/2022,4204.31
165,02/27/2022,4328.87
166,02/20/2022,4384.65
167,02/13/2022,4348.87
168,02/06/2022,4418.64
169,01/30/2022,4500.53
170,01/23/2022,4431.85
171,01/16/2022,4397.94
172,01/09/2022,4662.85
173,01/02/2022,4677.03
174,12/26/2021,4766.18
175,12/19/2021,4725.79
176,12/12/2021,4620.64
